Unnamed: 0,Cuentas,ADDWISE 12 / 2017,AVLA 12 / 2017,BAN TATTERSALL 12 / 2017,BCI 12 / 2017,CONTEMPORA 12 / 2017,DANK 12 / 2017,ECR OSORNO 12 / 2017,ELOY 12 / 2017,FINANCIA CAPITAL 12 / 2017,FINMAS 12 / 2017,LARRAIN VIAL 12 / 2017,LATAM TRADE CAPITAL 12 / 2017,MOONK 12 / 2017,TANNER 12 / 2017,Fecha
63,21.02.10 A valor razonable,,,,,,,,,,,,,,,Diciembre de 2017
64,21.02.20 A valor razonable - Instrumentos derivados,,,,,,,,,,,,,,,Diciembre de 2017
65,21.02.30 Obligaciones por financiamiento,,0,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2017
66,21.02.31 Operaciones de venta con retrocompra sobre productos agropecuarios,,,,,,,,,,,,,,,Diciembre de 2017
67,21.02.32 Operaciones de venta con retrocompra sobre TRP,,,,,,,,,,,0,,,,Diciembre de 2017
68,21.02.33 Otras,,,,,,,,,,,,,,,Diciembre de 2017
69,21.03.00 Obligaciones con bancos e instituciones financieras,,,1350363,,,,,,0,,,,,,Diciembre de 2017
70,21.04.00 Acreedores por intermediación,0,,,,0,16098,,587425,0,602223,0,24620,,,Diciembre de 2017
71,21.05.00 Cuentas por pagar por operaciones de cartera propia,,,,90439,,,,,,,,0,,,Diciembre de 2017
72,21.06.00 Cuentas por pagar a partes relacionadas,,93626,235644,7883141,,,,,0,153027,,0,13681,,Diciembre de 2017
73,21.07.00 Otras cuentas por pagar,191455,5530,758934,47134,31520,5268,75923,57891,5213,5357,250084,17709,2487,68313,Diciembre de 2017
74,21.08.00 Provisiones,7930,3521,19529,68920,6817,26931,8394,16256,0,,68835,23661,1210,13707,Diciembre de 2017
75,21.09.00 Impuestos por pagar,93,0,14120,35750,4210,3602,612,18868,0,1926,62244,27558,0,11005,Diciembre de 2017
76,21.10.00 Impuestos diferidos,,1640,0,,,,,,0,,,,0,4379,Diciembre de 2017
77,21.11.00 Otros pasivos,,0,465,,,,,,,,,,0,6277,Diciembre de 2017
78,21.00.00 Total Pasivos,199478,104317,2379055,8125384,42547,51899,84929,680440,5213,762533,381163,93548,17378,103681,Diciembre de 2017
79,Patrimonio,,,,,,,,,,,,,,,Diciembre de 2017
80,22.01.00 Capital,220000,180000,433711,460000,720453,319572,387118,214000,285060,322996,701188,484476,423000,902046,Diciembre de 2017
81,22.02.00 Reservas,,,149,694,-18865,,4940,1933,-5060,,16465,,,-14481,Diciembre de 2017
82,22.03.00 Resultados acumulados,28418,42309,1024183,-29664,-11679,-102247,-12137,-634,55950,-6650,236677,76083,0,441087,Diciembre de 2017
83,22.04.00 Resultado del ejercicio,-45946,-40399,74888,101184,-3868,41013,43116,-27042,-74618,-55851,158270,72338,-7479,20924,Diciembre de 2017
84,22.05.00 Dividendos provisorios o participaciones,,,,-32794,,,,,0,,,-21701,0,-6277,Diciembre de 2017
85,22.00.00 Total Patrimonio,202472,181910,1532931,499420,686041,258338,423037,188257,261332,260495,1112600,611196,415521,1343299,Diciembre de 2017
86,20.00.00 TOTAL PAC.M.F Y PATRIMONIO,401950,286227,3911986,8624804,728588,310237,507966,868697,266545,1023028,1493763,704744,432899,1446980,Diciembre de 2017
87,,,,,,,,,,,,,,,,Diciembre de 2017
88,Estado de resultados integrales,,,,,,,,,,,,,,,Diciembre de 2017
89,Estado de resultados,,,,,,,,,,,,,,,Diciembre de 2017
90,Resultado por intermediación,,,,,,,,,,,,,,,Diciembre de 2017
91,30.10.01 Comisiones por operaciones bursátiles,98954,42702,756518,177465,166941,520616,36194,531911,67273,23859,177130,180937,,5193,Diciembre de 2017
92,30.10.02 Comisiones por operaciones extra bursátiles,,,,,,,,,,,,,,,Diciembre de 2017
93,30.10.03 Gastos por comisiones y servicios,-31702,-48982,-181374,,-33476,-292260,-28584,-43329,-51868,-15967,-56090,-32126,,-37116,Diciembre de 2017
94,30.10.04 Otras comisiones,,0,20175,,,25544,,,36519,1789,,13252,,,Diciembre de 2017
95,30.10.00 Total resultado por intermediación,67252,-6280,595319,177465,133465,253900,7610,488582,51924,9681,121040,162063,0,-31923,Diciembre de 2017
96,Ingresos por servicios,,,,,,,,,,,,,,,Diciembre de 2017
97,30.20.01 Ingresos por custodia,,,,,,,,,,,,,,,Diciembre de 2017
98,30.20.02 Ingresos por asesorías,,,,4948,,19191,115980,,,28244,361620,,,,Diciembre de 2017
99,30.20.03 Otros ingresos por servicios,23475,,,,,,,,,,,,,,Diciembre de 2017
100,30.20.00 Total ingresos por servicios,23475,0,0,4948,0,19191,115980,0,0,28244,361620,0,0,0,Diciembre de 2017
101,Resultado por productos,,,,,,,,,,,,,,,Diciembre de 2017
102,30.30.01 A valor razonable,,,,,,,9018,,,,26033,,3667,,Diciembre de 2017
103,30.30.02 A valor razonable - Instrumentos derivados,,,,,,,,,,,,,,,Diciembre de 2017
104,30.30.03 A costo amortizado,,,,358493,,,,,,,,,,-3045,Diciembre de 2017
105,30.30.04 A costo amortizado - Operaciones de financiamiento,,,,2864,,,,,,,,,,,Diciembre de 2017
106,30.30.00 Total resultado por productos,,0,0,361357,0,0,9018,0,0,0,26033,0,3667,-3045,Diciembre de 2017
107,Resultado por instrumentos financieros,,,,,,,,,,,,,,,Diciembre de 2017
108,30.40.01 A valor razonable,2872,6388,,0,1271,14023,,,0,2417,20080,0,,151325,Diciembre de 2017
109,30.40.02 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,,,,,,Diciembre de 2017
110,30.40.03 A costo amortizado,,,,,,,,,568,,,,,,Diciembre de 2017
111,30.40.04 A costo amortizado - Operaciones de financiamiento,,,,3363,,,,,,,,,,,Diciembre de 2017
112,30.40.00 Total resultado por instrumentos financieros,2872,6388,0,3363,1271,14023,0,0,568,2417,20080,0,0,151325,Diciembre de 2017
113,Resultado por operaciones de financiamiento,,,,,,,,,,,,,,,Diciembre de 2017
114,30.50.01 Gastos por financiamiento del mercado de productos,,,,,,,,,,,,,,,Diciembre de 2017
115,30.50.02 Gastos por financiamiento del mercado de valores,,,,,,,,,,,,,,,Diciembre de 2017
116,30.50.03 Otros gastos financieros,,,-79453,-147605,,-2526,,,,-174,-8933,,,,Diciembre de 2017
117,30.50.00 Total resultado por operaciones de financiamiento,,0,-79453,-147605,0,-2526,0,0,0,-174,-8933,0,0,0,Diciembre de 2017
118,Gastos de administración y comercialización,,,,,,,,,,,,,,,Diciembre de 2017
119,30.60.01 Remuneraciones y gastos de personal,-76413,0,-225205,-179410,-89834,-87009,-83516,-380841,-34966,-68285,-290290,-25243,-14603,-73000,Diciembre de 2017
120,30.60.02 Gastos de comercialización,-64116,0,,-61104,,,,,,-2730,-31900,,,-1061,Diciembre de 2017
121,30.60.03 Otros gastos de administración,,-39316,-208182,-61987,-51115,-137212,-10838,-134854,-91290,-44133,,-42502,-2772,-32271,Diciembre de 2017
122,30.60.00 Total gastos de administración y comercialización,-140529,-39316,-433387,-302501,-140949,-224221,-94354,-515695,-126256,-115148,-322190,-67745,-17375,-106332,Diciembre de 2017
123,Otros resultados,,,,,,,,,,,,,,,Diciembre de 2017
124,30.70.01 Reajuste y diferencia de cambio,,51,1018,12285,-4,,,48,21,12,291,-495,,79,Diciembre de 2017
125,30.70.02 Resultado de inversiones en sociedades,,693,4032,0,3656,,3656,,,,4585,,,,Diciembre de 2017
126,30.70.03 Otros ingresos (gastos),,-6,3038,21235,1121,,1169,-363,,,2388,0,3468,12535,Diciembre de 2017
127,30.70.00 Total otros resultados,,738,8088,33520,4773,0,4825,-315,21,12,7264,-495,3468,12614,Diciembre de 2017
128,30.80.00 Resultado antes de impuesto a la renta,-46930,-38470,90567,130547,-1440,60367,43079,-27428,-73743,-74968,204914,93823,-10240,22639,Diciembre de 2017
129,30.90.00 Impuesto a la renta,984,-1929,-15679,-29363,-2428,-19354,37,386,-875,19117,-46644,-21485,2761,-1715,Diciembre de 2017
130,30.00.00 Utilidad (pérdida) del ejercicio,-45946,-40399,74888,101184,-3868,41013,43116,-27042,-74618,-55851,158270,72338,-7479,20924,Diciembre de 2017
131,Estado de otros resultados integrales,,,,,,,,,,,,,,,Diciembre de 2017
132,30.00.00 Utilidad (pérdida) del ejercicio,-45946,-40399,74888,101184,-3868,41013,43116,-27042,-74618,-55851,158270,72338,-7479,20924,Diciembre de 2017
133,Ingresos (gastos) registrados con abono (cargo) a patrimonio,,,,,,,,,,,,,,,Diciembre de 2017
134,"31.10.00 Revalorización de propiedades, planta y equipo",,,,,,,,,,,,,,,Diciembre de 2017
135,31.20.00 Activos financieros a valor razonable por patrimonio,,,,0,,,,648,,,,,,,Diciembre de 2017
136,31.30.00 Participación de otros resultados integrales de inversiones en sociedades,,,,,,,,,,,,,,,Diciembre de 2017
137,31.40.00 Otros ingresos (gastos) registrados con abono (cargo) a patrimonio,,,,1431,,,,,,,-932,,,,Diciembre de 2017
138,31.50.00 Impuesto a la renta de otros resultados integrales,,,,,,,,,,,,,,,Diciembre de 2017
139,31.00.00 Total ingresos (gastos) registrados con abono (cargo) a patrimonio,0,0,0,1431,0,0,0,648,0,0,-932,0,0,0,Diciembre de 2017
140,32.00.00 Total resultados integrales reconocidos del ejercicio,-45946,-40399,74888,102615,-3868,41013,43116,-26394,-74618,-55851,157338,72338,-7479,20924,Diciembre de 2017
141,,,,,,,,,,,,,,,,Diciembre de 2017
142,Estados de Flujos de efectivo - Método directo,,,,,,,,,,,,,,,Diciembre de 2017
143,Flujo neto originado por actividades de la operación,,,,,,,,,,,,,,,Diciembre de 2017
144,51.11.00 Comisiones recaudadas (pagadas) por intermediación de productos,98954,-247493,204853,160903,133198,-265554,36194,531911,15406,,508693,-175195,,-29365,Diciembre de 2017
145,51.12.00 Ingreso (egreso) neto por cuenta de clientes,0,0,76512,,0,,,-92410,,805,,0,,22357,Diciembre de 2017
146,51.13.00 Ingreso (egreso) neto por instrumentos a valor razonable del mercado de productos,,0,,-2873187,,,88007,,,,20471,,,,Diciembre de 2017
147,51.14.00 Ingreso (egreso) neto por instrumentos derivados del mercado de productos,,,,,,,,,,,,,,,Diciembre de 2017
148,51.15.00 Ingreso (egreso) neto por instrumentos a costo amortizado del mercado de productos,,,370292,,,,,,,,,60447,,9453,Diciembre de 2017
149,51.16.00 Ingreso (egreso) neto por asesorías y custodia,984,0,,,,,115980,,,11163,,,,-359,Diciembre de 2017
150,51.17.00 Gastos de administración y comercialización pagados,-172231,-64692,-722959,,-139664,-233563,-109130,-515695,-166103,-112698,-367623,-114558,-411,-92832,Diciembre de 2017
151,51.18.00 Impuestos pagados,,0,,,-987,-47443,-6891,,-11967,-574,-260537,-24331,,-3306,Diciembre de 2017
152,51.19.00 Otros ingresos (egresos) netos por actividades de la operación,-313990,993,,-601704,10025,135506,-6019,-363,36519,1887,-1060162,0,,-1065,Diciembre de 2017
153,51.10.00 Flujo neto originado por actividades de la operación,-386283,-311192,-71302,-3313988,2572,-411054,118141,-76557,-126145,-99417,-1159158,-253637,-411,-95117,Diciembre de 2017
154,Flujo neto originado por actividades de financiamiento,,,,,,,,,,,,,,,Diciembre de 2017
155,52.11.00 Ingreso (egreso) neto por pasivos del mercado de productos,,,,,,,,,0,26404,,,,181781,Diciembre de 2017
156,52.12.00 Ingreso (egreso) neto por pasivos financieros del mercado de valores,,,,,,,,,,,,,,,Diciembre de 2017
157,52.13.00 Ingreso (egreso) neto por financiamiento de partes relacionadas,,0,105969,3279090,,-96000,,,,-18185,114917,45076,3468,,Diciembre de 2017
158,52.14.00 Aumentos de capital,23000,0,,,,,,,,142998,,106476,423000,,Diciembre de 2017
159,52.15.00 Reparto de utilidades y de capital,,,,,,,,-130215,-205740,,,,,,Diciembre de 2017
160,52.16.00 Otros ingresos (egresos) netos por actividades de financiamiento,0,0,435007,,,,,,,2243,,,,,Diciembre de 2017
161,52.10.00 Flujo neto originado por actividades de financiamiento,23000,0,540976,3279090,0,-96000,0,-130215,-205740,153460,114917,151552,426468,181781,Diciembre de 2017
162,Flujo neto originado por actividades de inversión,,,,,,,,,,,,,,,Diciembre de 2017
163,53.11.00 Ingreso (egreso) neto por instrumentos financieros a valor razonable del mercado de valores,,,,,1538,,,,,,0,0,3667,-742589,Diciembre de 2017
164,53.12.00 Ingreso (egreso) neto por instrumentos financieros derivados del mercado de valores,,,,,,,,,6851,,,,,,Diciembre de 2017
165,53.13.00 Ingreso (egreso) neto por instrumentos financieros a costo amortizado del mercado de valores,,,,,,,,,,,250000,,,,Diciembre de 2017
166,"53.14.00 Ingresos por ventas de propiedades, planta y equipo",,,,,,,,,,,,,,,Diciembre de 2017
167,53.15.00 Ingresos por ventas de inversiones en sociedades,,,,,,,,,,,,,,,Diciembre de 2017
168,53.16.00 Dividendos y otros ingresos percibidos de inversiones en sociedades,,,,,,,,,555981,,,,,,Diciembre de 2017
169,"53.17.00 Incorporación de propiedades, planta y equipo",0,,,,,,,-521,0,-1019,,0,,,Diciembre de 2017
170,53.18.00 Inversiones en sociedades,,0,0,,0,,,,,,,,,,Diciembre de 2017
171,53.19.00 Otros ingresos (egresos) netos de inversión,,6388,0,-10670,0,,1056,,-1222,-39531,,,-53888,,Diciembre de 2017
172,53.10.00 Flujo neto originado por actividades de inversión,0,6388,0,-10670,1538,0,1056,-521,561610,-40550,250000,0,-50221,-742589,Diciembre de 2017
173,50.10.00 Flujo neto total positivo (negativo) del período,-363283,-304804,469674,-45568,4110,-507054,119197,-207293,229725,13493,-794241,-102085,375836,-655925,Diciembre de 2017
174,50.20.00 Efecto de la variación por tipo de cambio sobre el efectivo y efectivo equivalente,0,,,,,,,,24536,,,,,,Diciembre de 2017
175,50.30.00 Variación neta del efectivo y efectivo equivalente,-363283,-304804,469674,-45568,4110,-507054,119197,-207293,254261,13493,-794241,-102085,375836,-655925,Diciembre de 2017
176,50.40.00 Saldo inicial de efetivo y efectivo equivalente,740881,548347,410745,45906,487148,530704,17407,418986,,172497,1533807,203382,,894173,Diciembre de 2017
177,50.00.00 Saldo final de efectivo y efectivo equivalente,377598,243543,880419,338,491258,23650,136604,211693,254261,185990,739566,101297,375836,238248,Diciembre de 2017
