Unnamed: 0,Cuentas,AVLA 12 / 2018,BAN TATTERSALL 12 / 2018,BCI 12 / 2018,CONTEMPORA 12 / 2018,DANK 12 / 2018,ECR OSORNO 12 / 2018,ELOY 12 / 2018,FINMAS 12 / 2018,LARRAIN VIAL 12 / 2018,LATAM TRADE CAPITAL 12 / 2018,MOONK 12 / 2018,TANNER 12 / 2018,Fecha
52,10.00.00 Total Activos,317320,3422838,10533086,893634,283244,465099,855902,2754561,2554572,878466,472704,1441908,Diciembre de 2018
53,Pasivos y Patrimonio,,,,,,,,,,,,,Diciembre de 2018
54,Pasivos,,,,,,,,,,,,,Diciembre de 2018
55,21.01.00 Pasivos financieros,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2018
56,21.01.10 A valor razonable,,,,,,,,,,,,,Diciembre de 2018
57,21.01.20 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,,,,Diciembre de 2018
58,21.01.30 Obligaciones por financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2018
59,21.01.31 Operaciones de venta con retrocompra sobre IRV,,,,,,,,,,,,,Diciembre de 2018
60,21.01.32 Operaciones de venta con retrocompra sobre IRF e IIF,,,,,,,,,,,,,Diciembre de 2018
61,21.01.33 Otras,,,,,,,,,,,,,Diciembre de 2018
62,21.02.00 Pasivos del mercado de productos,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2018
63,21.02.10 A valor razonable,,,,,,,,,,,,,Diciembre de 2018
64,21.02.20 A valor razonable - Instrumentos derivados,,,,,,,,,,,,,Diciembre de 2018
65,21.02.30 Obligaciones por financiamiento,0,0,0,0,0,0,0,0,0,0,0,0,Diciembre de 2018
66,21.02.31 Operaciones de venta con retrocompra sobre productos agropecuarios,,,,,,,,,,,,,Diciembre de 2018
67,21.02.32 Operaciones de venta con retrocompra sobre TRP,,,,,,,,,0,,,,Diciembre de 2018
68,21.02.33 Otras,,,,,,,,,,,,,Diciembre de 2018
69,21.03.00 Obligaciones con bancos e instituciones financieras,,1367200,,,,,125,,,,,,Diciembre de 2018
70,21.04.00 Acreedores por intermediación,,,,0,,,587068,2228833,,124422,,,Diciembre de 2018
71,21.05.00 Cuentas por pagar por operaciones de cartera propia,,,97905,,,,,,,0,,,Diciembre de 2018
72,21.06.00 Cuentas por pagar a partes relacionadas,94561,178688,8149483,404,539,,,216246,,0,0,2550,Diciembre de 2018
73,21.07.00 Otras cuentas por pagar,16006,348318,1451001,189331,20336,13874,13731,17462,1189451,53151,255239,70397,Diciembre de 2018
74,21.08.00 Provisiones,4719,18368,90802,4192,12131,4467,7020,5691,56977,15674,0,3775,Diciembre de 2018
75,21.09.00 Impuestos por pagar,0,0,78075,6268,767,102,9048,9890,98149,21208,0,,Diciembre de 2018
76,21.10.00 Impuestos diferidos,787,61705,,,,,,,,,0,,Diciembre de 2018
77,21.11.00 Otros pasivos,0,4325,,,,,,,,,0,,Diciembre de 2018
78,21.00.00 Total Pasivos,116073,1978604,9867266,200195,33773,18443,616992,2478122,1344577,214455,255239,76722,Diciembre de 2018
79,Patrimonio,,,,,,,,,,,,,Diciembre de 2018
80,22.01.00 Capital,206900,433711,460000,720453,389572,387118,214000,322996,701188,484476,273000,902046,Diciembre de 2018
81,22.02.00 Reservas,,149,2069,-18865,,4940,2262,,18321,,,-14481,Diciembre de 2018
82,22.03.00 Resultados acumulados,1910,1099072,71520,-15547,-61233,30979,-27676,-62501,236677,148421,-7479,462011,Diciembre de 2018
83,22.04.00 Resultado del ejercicio,-7563,-88698,188903,7398,-78868,23619,50324,15944,253809,44448,-48056,15610,Diciembre de 2018
84,22.05.00 Dividendos provisorios o participaciones,,,-56672,,,,,,,-13334,0,,Diciembre de 2018
85,22.00.00 Total Patrimonio,201247,1444234,665820,693439,249471,446656,238910,276439,1209995,664011,217465,1365186,Diciembre de 2018
86,20.00.00 TOTAL PAC.M.F Y PATRIMONIO,317320,3422838,10533086,893634,283244,465099,855902,2754561,2554572,878466,472704,1441908,Diciembre de 2018
87,,,,,,,,,,,,,,Diciembre de 2018
88,Estado de resultados integrales,,,,,,,,,,,,,Diciembre de 2018
89,Estado de resultados,,,,,,,,,,,,,Diciembre de 2018
90,Resultado por intermediación,,,,,,,,,,,,,Diciembre de 2018
91,30.10.01 Comisiones por operaciones bursátiles,40818,369984,303291,221230,106218,47216,394586,260414,470486,137946,,13335,Diciembre de 2018
92,30.10.02 Comisiones por operaciones extra bursátiles,,,,,,,,,,,,,Diciembre de 2018
93,30.10.03 Gastos por comisiones y servicios,-29238,-137035,-59326,-61274,-89461,-28029,-34126,-65471,-110164,-31806,,-36183,Diciembre de 2018
94,30.10.04 Otras comisiones,0,26043,15343,,19396,,,,,9673,,,Diciembre de 2018
95,30.10.00 Total resultado por intermediación,11580,258992,259308,159956,36153,19187,360460,194943,360322,115813,0,-22848,Diciembre de 2018
96,Ingresos por servicios,,,,,,,,,,,,,Diciembre de 2018
97,30.20.01 Ingresos por custodia,,,,,,,,,,,,,Diciembre de 2018
98,30.20.02 Ingresos por asesorías,,,0,,21455,118516,,5803,226119,,,,Diciembre de 2018
99,30.20.03 Otros ingresos por servicios,,,,,,,,,,,,,Diciembre de 2018
100,30.20.00 Total ingresos por servicios,0,0,0,0,21455,118516,0,5803,226119,0,0,0,Diciembre de 2018
101,Resultado por productos,,,,,,,,,,,,,Diciembre de 2018
102,30.30.01 A valor razonable,,178250,528897,,,12681,,,38542,,7867,,Diciembre de 2018
103,30.30.02 A valor razonable - Instrumentos derivados,,,0,,,,,,,,,,Diciembre de 2018
104,30.30.03 A costo amortizado,,,0,,,,,,,47811,,93784,Diciembre de 2018
105,30.30.04 A costo amortizado - Operaciones de financiamiento,,,0,,,,,,,,,,Diciembre de 2018
106,30.30.00 Total resultado por productos,0,178250,528897,0,0,12681,0,0,38542,47811,7867,93784,Diciembre de 2018
107,Resultado por instrumentos financieros,,,,,,,,,,,,,Diciembre de 2018
108,30.40.01 A valor razonable,8267,,0,416,13807,,,,13202,0,,101415,Diciembre de 2018
109,30.40.02 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,,,,Diciembre de 2018
110,30.40.03 A costo amortizado,,,,,,,,,,,,,Diciembre de 2018
111,30.40.04 A costo amortizado - Operaciones de financiamiento,,,0,,,,,,,,,,Diciembre de 2018
112,30.40.00 Total resultado por instrumentos financieros,8267,0,0,416,13807,0,0,0,13202,0,0,101415,Diciembre de 2018
113,Resultado por operaciones de financiamiento,,,,,,,,,,,,,Diciembre de 2018
114,30.50.01 Gastos por financiamiento del mercado de productos,,,,,,,,,,,,,Diciembre de 2018
115,30.50.02 Gastos por financiamiento del mercado de valores,,,,,,,,,,,,,Diciembre de 2018
116,30.50.03 Otros gastos financieros,,-105245,-189384,,,,,-317,-4217,,,,Diciembre de 2018
117,30.50.00 Total resultado por operaciones de financiamiento,0,-105245,-189384,0,0,0,0,-317,-4217,0,0,0,Diciembre de 2018
118,Gastos de administración y comercialización,,,,,,,,,,,,,Diciembre de 2018
119,30.60.01 Remuneraciones y gastos de personal,0,-217744,-239025,-128909,-97017,-107469,-199949,-158777,-262225,-31702,-38975,-121371,Diciembre de 2018
120,30.60.02 Gastos de comercialización,0,,-13953,,,,,,-37632,,,,Diciembre de 2018
121,30.60.03 Otros gastos de administración,-29279,-167759,-98698,-63481,-68929,-20647,-106250,-42714,,-78775,-41895,-46962,Diciembre de 2018
122,30.60.00 Total gastos de administración y comercialización,-29279,-385503,-351676,-192390,-165946,-128116,-306199,-201491,-299857,-110477,-80870,-168333,Diciembre de 2018
123,Otros resultados,,,,,,,,,,,,,Diciembre de 2018
124,30.70.01 Reajuste y diferencia de cambio,247,1727,12344,10,,,377,30,1022,-1,150,384,Diciembre de 2018
125,30.70.02 Resultado de inversiones en sociedades,146,2377,0,1858,307,1857,,,0,,,,Diciembre de 2018
126,30.70.03 Otros ingresos (gastos),623,-86421,-6550,31120,-7,425,-407,,5012,0,,408,Diciembre de 2018
127,30.70.00 Total otros resultados,1016,-82317,5794,32988,300,2282,-30,30,6034,-1,150,792,Diciembre de 2018
128,30.80.00 Resultado antes de impuesto a la renta,-8416,-135823,252939,970,-94231,24550,54231,-1032,340145,53146,-72853,4810,Diciembre de 2018
129,30.90.00 Impuesto a la renta,853,47125,-64036,6428,15363,-931,-3907,16976,-86336,-8698,24797,10800,Diciembre de 2018
130,30.00.00 Utilidad (pérdida) del ejercicio,-7563,-88698,188903,7398,-78868,23619,50324,15944,253809,44448,-48056,15610,Diciembre de 2018
131,Estado de otros resultados integrales,,,,,,,,,,,,,Diciembre de 2018
132,30.00.00 Utilidad (pérdida) del ejercicio,-7563,-88698,188903,7398,-78868,23619,50324,15944,253809,44448,-48056,15610,Diciembre de 2018
133,Ingresos (gastos) registrados con abono (cargo) a patrimonio,,,,,,,,,,,,,Diciembre de 2018
134,"31.10.00 Revalorización de propiedades, planta y equipo",,,,,,,,,,,,,Diciembre de 2018
135,31.20.00 Activos financieros a valor razonable por patrimonio,,,0,,,,329,,,,,,Diciembre de 2018
136,31.30.00 Participación de otros resultados integrales de inversiones en sociedades,,,,,,,,,,,,,Diciembre de 2018
137,31.40.00 Otros ingresos (gastos) registrados con abono (cargo) a patrimonio,,,1375,,,,,,1856,,,,Diciembre de 2018
138,31.50.00 Impuesto a la renta de otros resultados integrales,,,,,,,,,,,,,Diciembre de 2018
139,31.00.00 Total ingresos (gastos) registrados con abono (cargo) a patrimonio,0,0,1375,0,0,0,329,0,1856,0,0,0,Diciembre de 2018
140,32.00.00 Total resultados integrales reconocidos del ejercicio,-7563,-88698,190278,7398,-78868,23619,50653,15944,255665,44448,-48056,15610,Diciembre de 2018
141,,,,,,,,,,,,,,Diciembre de 2018
142,Estados de Flujos de efectivo - Método directo,,,,,,,,,,,,,Diciembre de 2018
143,Flujo neto originado por actividades de la operación,,,,,,,,,,,,,Diciembre de 2018
144,51.11.00 Comisiones recaudadas (pagadas) por intermediación de productos,64570,164924,262956,157379,51151,47216,394586,201768,212437,459514,,-22848,Diciembre de 2018
145,51.12.00 Ingreso (egreso) neto por cuenta de clientes,0,959320,,0,,,-53279,,,0,,43727,Diciembre de 2018
146,51.13.00 Ingreso (egreso) neto por instrumentos a valor razonable del mercado de productos,0,,-961521,,,-125345,,,0,,,,Diciembre de 2018
147,51.14.00 Ingreso (egreso) neto por instrumentos derivados del mercado de productos,,,,,,,,,,,,,Diciembre de 2018
148,51.15.00 Ingreso (egreso) neto por instrumentos a costo amortizado del mercado de productos,,246275,,,,,,,,-304375,,20748,Diciembre de 2018
149,51.16.00 Ingreso (egreso) neto por asesorías y custodia,0,,,,,118516,,5803,,,,,Diciembre de 2018
150,51.17.00 Gastos de administración y comercialización pagados,-63718,-608252,,-84887,-141196,-127914,-306199,-170623,-439660,-135328,-60517,-120777,Diciembre de 2018
151,51.18.00 Impuestos pagados,0,,,-2057,-2626,-3524,-9820,-3841,-194018,-50997,-1073,-14647,Diciembre de 2018
152,51.19.00 Otros ingresos (egresos) netos por actividades de la operación,876,,743325,28588,20787,-13327,-407,,1177639,0,,408,Diciembre de 2018
153,51.10.00 Flujo neto originado por actividades de la operación,1728,762267,44760,99023,-71884,-104378,24881,33107,756398,-31186,-61590,-93389,Diciembre de 2018
154,Flujo neto originado por actividades de financiamiento,,,,,,,,,,,,,Diciembre de 2018
155,52.11.00 Ingreso (egreso) neto por pasivos del mercado de productos,,,,,,,,-25747,,,,-116317,Diciembre de 2018
156,52.12.00 Ingreso (egreso) neto por pasivos financieros del mercado de valores,,,,,,,,,,,,,Diciembre de 2018
157,52.13.00 Ingreso (egreso) neto por financiamiento de partes relacionadas,0,-56000,18025,,58613,,,,,0,0,,Diciembre de 2018
158,52.14.00 Aumentos de capital,26900,,,,,,,,,0,100000,,Diciembre de 2018
159,52.15.00 Reparto de utilidades y de capital,,,,,,,,,-158270,,,,Diciembre de 2018
160,52.16.00 Otros ingresos (egresos) netos por actividades de financiamiento,99,-57741,,,,,,-317,,,-32740,,Diciembre de 2018
161,52.10.00 Flujo neto originado por actividades de financiamiento,26999,-113741,18025,0,58613,0,0,-26064,-158270,0,67260,-116317,Diciembre de 2018
162,Flujo neto originado por actividades de inversión,,,,,,,,,,,,,Diciembre de 2018
163,53.11.00 Ingreso (egreso) neto por instrumentos financieros a valor razonable del mercado de valores,,,,2993,,,,,-986798,0,-132,61115,Diciembre de 2018
164,53.12.00 Ingreso (egreso) neto por instrumentos financieros derivados del mercado de valores,,,,,,,,,,,,,Diciembre de 2018
165,53.13.00 Ingreso (egreso) neto por instrumentos financieros a costo amortizado del mercado de valores,,,,,,,,,256,127,,,Diciembre de 2018
166,"53.14.00 Ingresos por ventas de propiedades, planta y equipo",,,,,,,,,,,,,Diciembre de 2018
167,53.15.00 Ingresos por ventas de inversiones en sociedades,,,,,,,,,,,,,Diciembre de 2018
168,53.16.00 Dividendos y otros ingresos percibidos de inversiones en sociedades,,,,,,,,,,,,,Diciembre de 2018
169,"53.17.00 Incorporación de propiedades, planta y equipo",,,-1155,,,,,-594,,0,,,Diciembre de 2018
170,53.18.00 Inversiones en sociedades,0,0,,0,,,,,,,,,Diciembre de 2018
171,53.19.00 Otros ingresos (egresos) netos de inversión,8267,-801085,0,0,,156,,34912,,,,,Diciembre de 2018
172,53.10.00 Flujo neto originado por actividades de inversión,8267,-801085,-1155,2993,0,156,0,34318,-986542,127,-132,61115,Diciembre de 2018
173,50.10.00 Flujo neto total positivo (negativo) del período,36994,-152559,61630,102016,-13271,-104222,24881,41361,-388414,-31059,5538,-148591,Diciembre de 2018
174,50.20.00 Efecto de la variación por tipo de cambio sobre el efectivo y efectivo equivalente,,,,,,,,,,,,,Diciembre de 2018
175,50.30.00 Variación neta del efectivo y efectivo equivalente,36994,-152559,61630,102016,-13271,-104222,24881,41361,-388414,-31059,5538,-148591,Diciembre de 2018
176,50.40.00 Saldo inicial de efetivo y efectivo equivalente,243543,158164,338,491258,23650,136604,211693,185990,739566,101297,375836,238248,Diciembre de 2018
177,50.00.00 Saldo final de efectivo y efectivo equivalente,280537,5605,61968,593274,10379,32382,236574,227351,351152,70238,381374,89657,Diciembre de 2018
