Unnamed: 0,Cuentas,ADDWISE 09 / 2015,AVLA 09 / 2015,BAN TATTERSALL 09 / 2015,CONTEMPORA 09 / 2015,DANK 09 / 2015,ECR OSORNO 09 / 2015,ELOY 09 / 2015,FINANCIA CAPITAL 09 / 2015,LARRAIN VIAL 09 / 2015,LATAM TRADE CAPITAL 09 / 2015,TANNER 09 / 2015,Fecha
26,11.03.14 Títulos representativos de facturas (TRF),,,,,,,,,,0,,Septiembre de 2015
27,11.03.15 Otros,,,,,,,,,,0,,Septiembre de 2015
28,11.03.20 A valor razonable - Cartera propia comprometida,,,0,0,0,0,0,0,0,0,0,Septiembre de 2015
29,11.03.21 Productos agropecuarios,,,,,,,,,,0,,Septiembre de 2015
30,11.03.22 Títulos representativos de productos agropecuarios,,,,,,,,,,0,,Septiembre de 2015
31,11.03.23 Otros,,,,,,,,,,0,,Septiembre de 2015
32,11.03.30 A valor razonable - Instrumentos derivados,,,,,,,,,,0,,Septiembre de 2015
33,11.03.40 A costo amortizado - Cartera propia disponible,,,0,0,0,0,0,0,31347,390420,1858662,Septiembre de 2015
34,11.03.41 Facturas,,,,,,,,,31347,390420,1858662,Septiembre de 2015
35,11.03.42 Títulos representativos de facturas,,,,,,,,,,0,,Septiembre de 2015
36,11.03.43 Otros,,,,,,,,,,0,,Septiembre de 2015
37,11.03.50 A costo amortizado - Cartera propia comprometida,,,,,,,,,,0,,Septiembre de 2015
38,11.03.60 A costo amortizado - Operaciones de financiamiento,,,0,0,0,0,0,0,0,0,0,Septiembre de 2015
39,11.03.61 Operaciones de compra con retroventa sobre productos agropecuarios,,,,,,,,,,0,,Septiembre de 2015
40,11.03.62 Operaciones de compra con retroventa sobre TRP,,,,,,,,,0,0,,Septiembre de 2015
41,11.03.63 Otras,,,,,,,,,,0,,Septiembre de 2015
42,11.04.00 Deudores por intermediación,101194,,24757,828,,,111506,,0,0,799895,Septiembre de 2015
43,11.05.00 Cuentas por cobrar por operaciones de cartera propia,,,,,,,,,,0,488509,Septiembre de 2015
44,11.06.00 Cuentas por cobrar a partes relacionadas,,5150,115878,,5419,,,531740,0,612969,0,Septiembre de 2015
45,11.07.00 Otras cuentas por cobrar,22772,,114764,4497,25777,22457,,0,885144,0,336945,Septiembre de 2015
46,11.08.00 Impuestos por cobrar,2784,451,50672,,2117,3291,2083,8788,28667,9239,128283,Septiembre de 2015
47,11.09.00 Impuestos diferidos,0,216,6803,45701,25412,69,,0,4495,3509,2840,Septiembre de 2015
48,11.10.00 Inversiones en sociedades,,23328,144601,168231,23932,144743,24552,0,144602,0,144602,Septiembre de 2015
49,11.11.00 Intangibles,17722,17496,26404,1954,,,1000,21202,,42455,54428,Septiembre de 2015
50,"11.12.00 Propiedades, planta y equipo",538,,4108,0,,,5148,630,843,0,672,Septiembre de 2015
51,11.13.00 Otros activos,1240,3331,40,,222511,,53803,1691,,0,3758,Septiembre de 2015
52,10.00.00 Total Activos,687108,267111,1829605,667542,430375,388369,340654,594314,1250982,1213181,3970665,Septiembre de 2015
53,Pasivos y Patrimonio,,,,,,,,,,,,Septiembre de 2015
54,Pasivos,,,,,,,,,,,,Septiembre de 2015
55,21.01.00 Pasivos financieros,,,0,0,0,0,0,0,0,0,0,Septiembre de 2015
56,21.01.10 A valor razonable,,,,,,,,,,0,,Septiembre de 2015
57,21.01.20 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,0,,Septiembre de 2015
58,21.01.30 Obligaciones por financiamiento,,,0,0,0,0,0,0,0,0,0,Septiembre de 2015
59,21.01.31 Operaciones de venta con retrocompra sobre IRV,,,,,,,,,,0,,Septiembre de 2015
60,21.01.32 Operaciones de venta con retrocompra sobre IRF e IIF,,,,,,,,,,0,,Septiembre de 2015
61,21.01.33 Otras,,,,,,,,,,0,,Septiembre de 2015
62,21.02.00 Pasivos del mercado de productos,,,0,0,0,0,0,0,0,0,0,Septiembre de 2015
63,21.02.10 A valor razonable,,,,,,,,,,0,,Septiembre de 2015
64,21.02.20 A valor razonable - Instrumentos derivados,,,,,,,,,,0,,Septiembre de 2015
65,21.02.30 Obligaciones por financiamiento,,,0,0,0,0,0,0,0,0,0,Septiembre de 2015
66,21.02.31 Operaciones de venta con retrocompra sobre productos agropecuarios,,,,,,,,,,0,,Septiembre de 2015
67,21.02.32 Operaciones de venta con retrocompra sobre TRP,,,,,,,,,0,0,,Septiembre de 2015
68,21.02.33 Otras,,,,,,,,,,0,,Septiembre de 2015
69,21.03.00 Obligaciones con bancos e instituciones financieras,,,,,,,,,,0,,Septiembre de 2015
70,21.04.00 Acreedores por intermediación,389193,,,0,132390,,126481,4351,0,0,799895,Septiembre de 2015
71,21.05.00 Cuentas por pagar por operaciones de cartera propia,,,,,,,,,,0,0,Septiembre de 2015
72,21.06.00 Cuentas por pagar a partes relacionadas,0,41460,142476,,18508,,,13211,,0,684504,Septiembre de 2015
73,21.07.00 Otras cuentas por pagar,15751,2973,352579,843,87665,6042,55474,18310,548930,668117,241822,Septiembre de 2015
74,21.08.00 Provisiones,39183,2344,19395,11581,9932,2523,,2606,25234,10230,20895,Septiembre de 2015
75,21.09.00 Impuestos por pagar,1247,522,82428,2998,534,1590,5377,11845,4094,3353,96166,Septiembre de 2015
76,21.10.00 Impuestos diferidos,,0,0,,,,,3654,,0,314,Septiembre de 2015
77,21.11.00 Otros pasivos,,0,501,,,,,,,0,108317,Septiembre de 2015
78,21.00.00 Total Pasivos,445374,47299,597379,15422,249029,10155,187332,53977,578258,681700,1951913,Septiembre de 2015
79,Patrimonio,,,,,,,,,,,,Septiembre de 2015
80,22.01.00 Capital,197000,180000,433711,720453,236222,387118,178000,285060,701188,378000,902046,Septiembre de 2015
81,22.02.00 Reservas,,,149,-14486,,4940,,-5060,18725,0,31652,Septiembre de 2015
82,22.03.00 Resultados acumulados,34494,21185,545596,-102885,25928,56110,-1810,213478,-56376,146493,833241,Septiembre de 2015
83,22.04.00 Resultado del ejercicio,10240,18627,252770,49038,-80804,-69954,-22868,46859,9187,6988,359733,Septiembre de 2015
84,22.05.00 Dividendos provisorios o participaciones,,,,,,,,,,0,-107920,Septiembre de 2015
85,22.00.00 Total Patrimonio,241734,219812,1232226,652120,181346,378214,153322,540337,672724,531481,2018752,Septiembre de 2015
86,20.00.00 TOTAL PAC.M.F Y PATRIMONIO,687108,267111,1829605,667542,430375,388369,340654,594314,1250982,1213181,3970665,Septiembre de 2015
87,,,,,,,,,,,,,Septiembre de 2015
88,Estado de resultados integrales,,,,,,,,,,,,Septiembre de 2015
89,Estado de resultados,,,,,,,,,,,,Septiembre de 2015
90,Resultado por intermediación,,,,,,,,,,,,Septiembre de 2015
91,30.10.01 Comisiones por operaciones bursátiles,128662,255,731800,160300,58255,11126,101079,155266,217787,35197,353298,Septiembre de 2015
92,30.10.02 Comisiones por operaciones extra bursátiles,,,,,,,,,,0,0,Septiembre de 2015
93,30.10.03 Gastos por comisiones y servicios,-37924,-20292,-169577,-28892,-25885,-18009,-340,-20642,-55594,-30464,-73028,Septiembre de 2015
94,30.10.04 Otras comisiones,0,2450,57477,,,,448,15756,,98170,0,Septiembre de 2015
95,30.10.00 Total resultado por intermediación,90738,-17587,619700,131408,32370,-6883,101187,150380,162193,102903,280270,Septiembre de 2015
96,Ingresos por servicios,,,,,,,,,,,,Septiembre de 2015
97,30.20.01 Ingresos por custodia,,,,,,,,,,0,,Septiembre de 2015
98,30.20.02 Ingresos por asesorías,,,,,,31886,,,,0,184148,Septiembre de 2015
99,30.20.03 Otros ingresos por servicios,3661,47304,,,,,,,,0,128188,Septiembre de 2015
100,30.20.00 Total ingresos por servicios,3661,47304,0,0,0,31886,0,0,0,0,312336,Septiembre de 2015
101,Resultado por productos,,,,,,,,,,,,Septiembre de 2015
102,30.30.01 A valor razonable,,,,,12029,9279,,,13596,0,,Septiembre de 2015
103,30.30.02 A valor razonable - Instrumentos derivados,,,,,,,,,,0,,Septiembre de 2015
104,30.30.03 A costo amortizado,,,,,,,,,,0,76034,Septiembre de 2015
105,30.30.04 A costo amortizado - Operaciones de financiamiento,,,,,,,,,,0,,Septiembre de 2015
106,30.30.00 Total resultado por productos,0,0,0,0,12029,9279,0,0,13596,0,76034,Septiembre de 2015
107,Resultado por instrumentos financieros,,,,,,,,,,,,Septiembre de 2015
108,30.40.01 A valor razonable,5038,9289,,274,,,,,59456,0,410,Septiembre de 2015
109,30.40.02 A valor razonable - Instrumentos financieros derivados,,,,,,,,,,0,,Septiembre de 2015
110,30.40.03 A costo amortizado,,,,,,,,208,,0,,Septiembre de 2015
111,30.40.04 A costo amortizado - Operaciones de financiamiento,,,,,,,,,,0,,Septiembre de 2015
112,30.40.00 Total resultado por instrumentos financieros,5038,9289,0,274,0,0,0,208,59456,0,410,Septiembre de 2015
113,Resultado por operaciones de financiamiento,,,,,,,,,,,,Septiembre de 2015
114,30.50.01 Gastos por financiamiento del mercado de productos,,,,,,,,,,0,0,Septiembre de 2015
115,30.50.02 Gastos por financiamiento del mercado de valores,,,,,,,,,,0,,Septiembre de 2015
116,30.50.03 Otros gastos financieros,,,-3151,,-849,,,,-4919,0,,Septiembre de 2015
117,30.50.00 Total resultado por operaciones de financiamiento,0,0,-3151,0,-849,0,0,0,-4919,0,0,Septiembre de 2015
118,Gastos de administración y comercialización,,,,,,,,,,,,Septiembre de 2015
119,30.60.01 Remuneraciones y gastos de personal,-49612,-11408,-171188,-50249,-22022,-97850,-84182,-19097,-162407,-52421,-135027,Septiembre de 2015
120,30.60.02 Gastos de comercialización,-20276,,,,,,-1000,,-44296,0,-53727,Septiembre de 2015
121,30.60.03 Otros gastos de administración,-19309,-8971,-132700,-37649,-127755,-9379,-36680,-75286,-8,-46076,-39784,Septiembre de 2015
122,30.60.00 Total gastos de administración y comercialización,-89197,-20379,-303888,-87898,-149777,-107229,-121862,-94383,-206711,-98497,-228538,Septiembre de 2015
123,Otros resultados,,,,,,,,,,,,Septiembre de 2015
124,30.70.01 Reajuste y diferencia de cambio,,,1020,,11,,,70,-176,185,1661,Septiembre de 2015
125,30.70.02 Resultado de inversiones en sociedades,,,2880,3018,,3018,,,544,0,2458,Septiembre de 2015
126,30.70.03 Otros ingresos (gastos),0,0,1078,2236,,571,-765,,1405,0,4786,Septiembre de 2015
127,30.70.00 Total otros resultados,0,0,4978,5254,11,3589,-765,70,1773,185,8905,Septiembre de 2015
128,30.80.00 Resultado antes de impuesto a la renta,10240,18627,317639,49038,-106216,-69358,-21440,56275,25388,4591,449417,Septiembre de 2015
129,30.90.00 Impuesto a la renta,,,-64869,0,25412,-596,-1428,-9416,-16201,2397,-89684,Septiembre de 2015
130,30.00.00 Utilidad (pérdida) del ejercicio,10240,18627,252770,49038,-80804,-69954,-22868,46859,9187,6988,359733,Septiembre de 2015
131,Estado de otros resultados integrales,,,,,,,,,,,,Septiembre de 2015
132,30.00.00 Utilidad (pérdida) del ejercicio,10240,18627,252770,49038,-80804,-69954,-22868,46859,9187,6988,359733,Septiembre de 2015
133,Ingresos (gastos) registrados con abono (cargo) a patrimonio,,,,,,,,,,,,Septiembre de 2015
134,"31.10.00 Revalorización de propiedades, planta y equipo",,,,,,,,,,0,,Septiembre de 2015
135,31.20.00 Activos financieros a valor razonable por patrimonio,,,,,,,,,,0,,Septiembre de 2015
136,31.30.00 Participación de otros resultados integrales de inversiones en sociedades,,,,,,,,,,0,,Septiembre de 2015
137,31.40.00 Otros ingresos (gastos) registrados con abono (cargo) a patrimonio,,,,,,,,,,0,,Septiembre de 2015
138,31.50.00 Impuesto a la renta de otros resultados integrales,,,,,,,,,,0,,Septiembre de 2015
139,31.00.00 Total ingresos (gastos) registrados con abono (cargo) a patrimonio,0,0,0,0,0,0,0,0,0,0,0,Septiembre de 2015
140,32.00.00 Total resultados integrales reconocidos del ejercicio,10240,18627,252770,49038,-80804,-69954,-22868,46859,9187,6988,359733,Septiembre de 2015
141,,,,,,,,,,,,,Septiembre de 2015
142,Estados de Flujos de efectivo - Método directo,,,,,,,,,,,,Septiembre de 2015
143,Flujo neto originado por actividades de la operación,,,,,,,,,,,,Septiembre de 2015
144,51.11.00 Comisiones recaudadas (pagadas) por intermediación de productos,120206,255,551004,131409,66748,11126,86888,134624,137686,230253,379171,Septiembre de 2015
145,51.12.00 Ingreso (egreso) neto por cuenta de clientes,0,,227088,54652,,,96666,,44689,0,32412,Septiembre de 2015
146,51.13.00 Ingreso (egreso) neto por instrumentos a valor razonable del mercado de productos,,9289,,,700,95440,,,,0,0,Septiembre de 2015
147,51.14.00 Ingreso (egreso) neto por instrumentos derivados del mercado de productos,,,,,,,,,85324,0,0,Septiembre de 2015
148,51.15.00 Ingreso (egreso) neto por instrumentos a costo amortizado del mercado de productos,,,68696,,,,,,,-257099,67151,Septiembre de 2015
149,51.16.00 Ingreso (egreso) neto por asesorías y custodia,,,,,,14564,,,,0,181023,Septiembre de 2015
150,51.17.00 Gastos de administración y comercialización pagados,-94803,-39854,-623638,-87899,-47620,-97761,-89381,-141502,-178029,-93667,-230356,Septiembre de 2015
151,51.18.00 Impuestos pagados,,-4693,,0,-5782,-5724,-13344,-36098,-78105,-6355,-176975,Septiembre de 2015
152,51.19.00 Otros ingresos (egresos) netos por actividades de la operación,245617,49754,16079,8233,24839,-21776,-19235,15756,-1726754,,3931,Septiembre de 2015
153,51.10.00 Flujo neto originado por actividades de la operación,271020,14751,239229,106395,38885,-4131,61594,-27220,-1715189,-126868,256357,Septiembre de 2015
154,Flujo neto originado por actividades de financiamiento,,,,,,,,,,,,Septiembre de 2015
155,52.11.00 Ingreso (egreso) neto por pasivos del mercado de productos,,,,,,,,0,,0,-2036347,Septiembre de 2015
156,52.12.00 Ingreso (egreso) neto por pasivos financieros del mercado de valores,,,,,,,,,,0,0,Septiembre de 2015
157,52.13.00 Ingreso (egreso) neto por financiamiento de partes relacionadas,,,-13800,,69050,,,,,-442215,683468,Septiembre de 2015
158,52.14.00 Aumentos de capital,,,,,,,,,,,0,Septiembre de 2015
159,52.15.00 Reparto de utilidades y de capital,,,,,,,,,,0,-174500,Septiembre de 2015
160,52.16.00 Otros ingresos (egresos) netos por actividades de financiamiento,,,,,,,,,,0,,Septiembre de 2015
161,52.10.00 Flujo neto originado por actividades de financiamiento,0,0,-13800,0,69050,0,0,0,0,-442215,-1527379,Septiembre de 2015
162,Flujo neto originado por actividades de inversión,,,,,,,,,,,,Septiembre de 2015
163,53.11.00 Ingreso (egreso) neto por instrumentos financieros a valor razonable del mercado de valores,2916,,,2510,,,43,,0,0,410,Septiembre de 2015
164,53.12.00 Ingreso (egreso) neto por instrumentos financieros derivados del mercado de valores,,,,,,,,208,,0,,Septiembre de 2015
165,53.13.00 Ingreso (egreso) neto por instrumentos financieros a costo amortizado del mercado de valores,,,,,,,,,-881000,0,,Septiembre de 2015
166,"53.14.00 Ingresos por ventas de propiedades, planta y equipo",,,,,,,,,,0,,Septiembre de 2015
167,53.15.00 Ingresos por ventas de inversiones en sociedades,,,,,,,,,,0,,Septiembre de 2015
168,53.16.00 Dividendos y otros ingresos percibidos de inversiones en sociedades,,,,,,,,,,0,,Septiembre de 2015
169,"53.17.00 Incorporación de propiedades, planta y equipo",,,-750,,,,,-673,,0,,Septiembre de 2015
170,53.18.00 Inversiones en sociedades,,,,0,,,,,0,0,,Septiembre de 2015
171,53.19.00 Otros ingresos (egresos) netos de inversión,,,-7921,,,532,,,,0,,Septiembre de 2015
172,53.10.00 Flujo neto originado por actividades de inversión,2916,,-8671,2510,0,532,43,-465,-881000,0,410,Septiembre de 2015
173,50.10.00 Flujo neto total positivo (negativo) del período,273936,14751,216758,108905,107935,-3599,61637,-27685,-2596189,-569083,-1270612,Septiembre de 2015
174,50.20.00 Efecto de la variación por tipo de cambio sobre el efectivo y efectivo equivalente,,,,,,,,57948,,,,Septiembre de 2015
175,50.30.00 Variación neta del efectivo y efectivo equivalente,273936,14751,216758,108905,107935,-3599,61637,30263,-2596189,-569083,-1270612,Septiembre de 2015
176,50.40.00 Saldo inicial de efetivo y efectivo equivalente,266922,202388,182335,337426,17272,6051,80925,,2752073,723672,1422683,Septiembre de 2015
177,50.00.00 Saldo final de efectivo y efectivo equivalente,540858,217139,399093,446331,125207,2452,142562,30263,155884,154589,152071,Septiembre de 2015
